CORPKEY|PHONEEMAILTYPE|PHONEOREMAIL|PHONENOLOCALCODE|PHONENOCITYCODE|PHONENOCOUNTRYCODE|WORKEXTENSION|EMAIL|EMAILPALM|URL|PREFERREDFLAG|START_DATE|END_DATE|USERFIELD1|USERFIELD2|USERFIELD3|DATE1|DATE2|DATE3|BANK_ID
R000000001|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- /Phone No- 4445952/Email - /Fax No- 4425932|NA|4445952|1900-01-01|1900-01-01|1900-01-01|01
R000000029|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- /Phone No- 4414628/29/Email - niranjan@agniinc.com.np/Fax No- 4414626|NA|4414628/29|1900-01-01|1900-01-01|1900-01-01|01
R000000044|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9851025947/Phone No- 445952, 4370865/Email - /Fax No-|NA|445952, 4370865|1900-01-01|1900-01-01|1900-01-01|01
R000000105|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9802100666/Phone No- 9805554444//Email - www.ncell.axiata.com/Fax No-|NA|9805554444/|1900-01-01|1900-01-01|1900-01-01|01
R000000123|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- /Phone No- 246160/Email - /Fax No- 246156|NA|246160|1900-01-01|1900-01-01|1900-01-01|01
R000000125|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9849148528/Phone No- 5111111/Email - uic@mail.com.np/Fax No- 5111112|NA|5111111|1900-01-01|1900-01-01|1900-01-01|01
R000000135|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- /Phone No- 091523738/Email - /Fax No- 091520782|NA|091523738|1900-01-01|1900-01-01|1900-01-01|01
R000000137|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9841630680/Phone No- 4413543, 4410648, 4439358/Email - premier@picl.com.np/Fax No- 4413442|NA|4413543, 4410648, 4439358|1900-01-01|1900-01-01|1900-01-01|01
R000000147|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9845049146/Phone No- 2081403/Email - /Fax No-|NA|2081403|1900-01-01|1900-01-01|1900-01-01|01
R000000150|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9851040262/Phone No- 4474206/Email - /Fax No-|NA|4474206|1900-01-01|1900-01-01|1900-01-01|01
R000000171|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9851068144/Phone No- /Email - /Fax No-|NA|9851068144|1900-01-01|1900-01-01|1900-01-01|01
R000000197|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9841449158/Phone No- 4444717/Email - info@eic.com.np/Fax No- 4444366|NA|4444717|1900-01-01|1900-01-01|1900-01-01|01
R000000199|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9852021981/Phone No- 4271593/Email - oam@stcnepal.com/Fax No- 4271704 om|NA|4271593|1900-01-01|1900-01-01|1900-01-01|01
R000000219|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9841563056/Phone No- 4228741, 4241222/Email - /Fax No-|NA|4228741, 4241222|1900-01-01|1900-01-01|1900-01-01|01
R000000223|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- /Phone No- 4784545, 4781386/Email - info@cwish.org.np/Fax No-|NA|4784545, 4781386|1900-01-01|1900-01-01|1900-01-01|01
R000000240|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9851045541/Phone No- /Email - /Fax No-|NA|9851045541|1900-01-01|1900-01-01|1900-01-01|01
R000000241|P|PHONE|||977|||||PHONE|1900-01-01|1900-01-01|Mobile No- 9804069993/Phone No- 488732,486445/Email - 490537(phone/Fax No- 4490537|NA|488732,486445|1900-01-01|1900-01-01|1900-01-01|01
